Day	AvgCloud	AvgRadiation
2025-11-09	96.7	58.4
2025-11-10	93.54545454545455	6.363636363636363
2025-11-11	99.33333333333333	0.16666666666666666
2025-11-12	100	0.9
2025-11-13	85.2	2.8
2025-11-14	97.5	38
2025-11-15	93.6	42.9
2025-11-16	99.41666666666667	52.25
2025-11-17	100	30.875
2025-11-18	100	57.42857142857143
2025-11-19	100	27
2025-11-20	100	23
2025-11-21	100	0
2025-11-22	100	58.2
2025-11-23	100	0
2025-11-24	99	4.666666666666667
2025-11-25	100	0
2025-11-26	99.9090909090909	71.27272727272727
2025-11-27	100	54.22222222222222
2025-11-28	100	48.25
2025-11-29	100	112
2025-11-30	79.33333333333333	3.6666666666666665
2025-12-01	57.2	11.9
2025-12-02	94.3	3.1
2025-12-03	99.7	44.7
2025-12-04	100	121.5
