Day	AvgCloud	AvgRadiation
2025-11-09	53.5	2.6
2025-11-10	3.5454545454545454	49
2025-11-11	1.5	33.333333333333336
2025-11-12	35.2	18.9
2025-11-13	33.6	21.2
2025-11-14	32.666666666666664	4.333333333333333
2025-11-15	23.8	0
2025-11-16	23.75	10.5
2025-11-17	19.875	0
2025-11-18	9.857142857142858	1.1428571428571428
2025-11-19	52.666666666666664	0
2025-11-20	1	0
2025-11-21	0	6
2025-11-22	34.2	0
2025-11-23	28.333333333333332	20.333333333333332
2025-11-24	22	1
2025-11-25	98.66666666666667	0
2025-11-26	18.272727272727273	11.181818181818182
2025-11-27	33.55555555555556	6
2025-11-28	6.25	30
2025-11-29	23.666666666666668	219.66666666666666
2025-11-30	2.5	0.5
2025-12-01	34.7	11.5
2025-12-02	46.36363636363637	0
2025-12-03	7.125	0
2025-12-04	3	0
