Day	AvgCloud	AvgRadiation
2025-11-09	98	76.7
2025-11-10	98.9090909090909	6.2727272727272725
2025-11-11	100	0
2025-11-12	95.5	2.1
2025-11-13	96.2	6.4
2025-11-14	82.33333333333333	95.5
2025-11-15	86.2	55.7
2025-11-16	93.58333333333333	131.5
2025-11-17	100	58.25
2025-11-18	100	58
2025-11-19	100	11
2025-11-20	98.2	43.8
2025-11-21	100	0
2025-11-22	100	35.8
2025-11-23	95.33333333333333	0
2025-11-24	100	1.5
2025-11-25	98.33333333333333	0
2025-11-26	99.18181818181819	33.81818181818182
2025-11-27	100	21.444444444444443
2025-11-28	100	49.25
2025-11-29	94.66666666666667	47.666666666666664
2025-11-30	53.25	5.916666666666667
2025-12-01	33.1	36.5
2025-12-02	55.36363636363637	33.72727272727273
2025-12-03	97.3	66.8
2025-12-04	100	237
