Day	AvgCloud	AvgRadiation
2025-11-09	100	39.55555555555556
2025-11-10	96.0909090909091	6.2727272727272725
2025-11-11	99.66666666666667	0
2025-11-12	99	1.6
2025-11-13	98.8	3
2025-11-14	94.5	58
2025-11-15	100	30.7
2025-11-16	98.08333333333333	94.41666666666667
2025-11-17	100	48.75
2025-11-18	100	63.285714285714285
2025-11-19	100	9.333333333333334
2025-11-20	93.8	26.2
2025-11-21	99.5	0
2025-11-22	100	24.6
2025-11-23	100	0
2025-11-24	100	1.5
2025-11-25	99.66666666666667	0
2025-11-26	99.63636363636364	53.81818181818182
2025-11-27	100	25.88888888888889
2025-11-28	100	43
2025-11-29	89	30.666666666666668
2025-11-30	67	4.916666666666667
2025-12-01	18.2	34.5
2025-12-02	97.36363636363636	29.545454545454547
2025-12-03	98.8	36.4
2025-12-04	100	148
