Day	AvgCloud	AvgRadiation
2025-11-09	100	49.8
2025-11-10	97.0909090909091	8.636363636363637
2025-11-11	99.5	0
2025-11-12	98.9	1.2
2025-11-13	97.2	3.4
2025-11-14	99.83333333333333	37.5
2025-11-15	100	17.9
2025-11-16	95.25	82.25
2025-11-17	100	24.375
2025-11-18	100	75.14285714285714
2025-11-19	99.66666666666667	17
2025-11-20	100	40
2025-11-21	99	0
2025-11-22	100	29.8
2025-11-23	100	0
2025-11-24	100	2.1666666666666665
2025-11-25	100	0
2025-11-26	99.9090909090909	55
2025-11-27	100	16
2025-11-28	100	67.66666666666667
2025-11-29	91.66666666666667	45
2025-11-30	51.166666666666664	4.5
2025-12-01	24.9	34
2025-12-02	99.18181818181819	15.818181818181818
2025-12-03	100	29.7
2025-12-04	100	157.5
