Day	AvgCloud	AvgRadiation
2025-11-09	99.8	26.8
2025-11-10	99.81818181818181	6.090909090909091
2025-11-11	100	0
2025-11-12	100	1.4444444444444444
2025-11-13	98.4	1.8
2025-11-14	98.5	78.16666666666667
2025-11-15	100	37.5
2025-11-16	98.66666666666667	30.75
2025-11-17	100	57.625
2025-11-18	100	70.85714285714286
2025-11-19	99.66666666666667	18
2025-11-20	99.4	31.6
2025-11-21	100	0
2025-11-22	100	42.6
2025-11-23	99.66666666666667	0
2025-11-24	100	4.166666666666667
2025-11-25	100	0
2025-11-26	100	92.63636363636364
2025-11-27	100	69.55555555555556
2025-11-28	100	77.5
2025-11-29	94.66666666666667	73.66666666666667
2025-11-30	52.75	4.833333333333333
2025-12-01	32.6	35
2025-12-02	84.45454545454545	14.454545454545455
2025-12-03	100	46.4
2025-12-04	100	193
