Day	Paris	Ottawa	Canberra	Tokyo
2025-11-09	9.8	13.9	8.4	5.6
2025-11-10	14.4	13.7	18.9	8.4
2025-11-11	13.4	20.1	20.3	7.9
2025-11-12	11.9	10	9.2	4.4
2025-11-13	8.8	11.2	15.5	4.3
2025-11-14	12.1	13	9.2	5.2
2025-11-15	8	11.3	17.2	3.8
2025-11-16	13	21.7	27.2	3.4
2025-11-17	13	20.9	13.9	4.1
2025-11-18	12.2	18.4	14.4	4.3
2025-11-19	23.5	9.2	4.5	4.3
2025-11-20	13	7.5	12.6	3.3
2025-11-21	10.8	8.2	10.5	6.2
2025-11-22	13.3	13.5	9.5	4.8
2025-11-23	11.3	7.5	11.5	6.2
2025-11-24	17.9	9.4	8.7	4.3
2025-11-25	14.8	7.3	5.8	1.6
2025-11-26	11.9	8.7	30.3	6.4
2025-11-27	10.3	21.7	20.5	4.5
2025-11-28	11.2	16.6	21.7	8.6
2025-11-29	16.5	16.6	31.8	6.9
2025-11-30	12.2	16.5	29.4	5
2025-12-01	16.1	20.6	31.1	4.5
2025-12-02	14.1	8.2	5.2	3.8
2025-12-03	9.4	11.7	8.1	8.6
2025-12-04	18	12.2	7.4	3.1
